Category,July,August,September,October,November,December,January,February,March,April,May,June,Total
Salaries,5456,5456,5501,2669,3569,-3425,2569,-2092,,,,7023,26725
Benefits,1140,1140,1103,465,653,-593,444,-282,,,,1215,5288
Personal_Services,,550,,,,,,,,,,,550
Services,,9,91,1900,4564,47,191,3162,527,110,65,,10666
Travel,,2728,,1853,,61,,,585,,497,,5724
Supplies,,,,767,110,,,10,,,3830,,4718
Equipment,,,,,,,,,,,,,0
Tuition,,,5143,,,854,,-3425,,,,,2572
Adjustments,,,1172,,,,,,,,,,1172
Total,6596,9883,13010,7654,8896,-3056,3205,-2626,1112,110,4393,8238,57415
Balance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140950
